Title,URL,Product Price,Stars
Fool Me Once,https://books.toscrape.com/catalogue/fool-me-once_374/index.html,£16.96,One
Find Her (Detective D.D. Warren #8),https://books.toscrape.com/catalogue/find-her-detective-dd-warren-8_373/index.html,£22.37,One
Evicted: Poverty and Profit in the American City,https://books.toscrape.com/catalogue/evicted-poverty-and-profit-in-the-american-city_372/index.html,£42.27,One
Drama,https://books.toscrape.com/catalogue/drama_371/index.html,£38.70,Two
Dracula the Un-Dead,https://books.toscrape.com/catalogue/dracula-the-un-dead_370/index.html,£35.63,Five
Digital Fortress,https://books.toscrape.com/catalogue/digital-fortress_369/index.html,£58.00,Five
"Death Note, Vol. 5: Whiteout (Death Note #5)",https://books.toscrape.com/catalogue/death-note-vol-5-whiteout-death-note-5_368/index.html,£52.41,One
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",https://books.toscrape.com/catalogue/data-a-love-story-how-i-gamed-online-dating-to-meet-my-match_367/index.html,£32.35,Three
Critique of Pure Reason,https://books.toscrape.com/catalogue/critique-of-pure-reason_366/index.html,£20.75,One
Booked,https://books.toscrape.com/catalogue/booked_365/index.html,£17.49,Five
"Blue Lily, Lily Blue (The Raven Cycle #3)",https://books.toscrape.com/catalogue/blue-lily-lily-blue-the-raven-cycle-3_364/index.html,£34.13,Five
Approval Junkie: Adventures in Caring Too Much,https://books.toscrape.com/catalogue/approval-junkie-adventures-in-caring-too-much_363/index.html,£58.81,Five
An Abundance of Katherines,https://books.toscrape.com/catalogue/an-abundance-of-katherines_362/index.html,£10.00,Five
America's War for the Greater Middle East: A Military History,https://books.toscrape.com/catalogue/americas-war-for-the-greater-middle-east-a-military-history_361/index.html,£51.22,Two
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,£57.36,Five
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,£29.17,Two
I am a Hero Omnibus Volume 1,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,£54.63,Three
How to Be Miserable: 40 Strategies You Already Use,https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html,£46.03,One
Her Backup Boyfriend (The Sorensen Family #1),https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html,£33.97,One
"Giant Days, Vol. 2 (Giant Days #5-8)",https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html,£22.11,Two
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,£29.69,Three
First and First (Five Boroughs #3),https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html,£15.97,Four
Fifty Shades Darker (Fifty Shades #2),https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html,£21.96,One
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,£54.35,Two
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,£37.97,Two
Danganronpa Volume 1,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html,£51.99,Four
Crown of Midnight (Throne of Glass #2),https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html,£43.29,Three
"Codename Baboushka, Volume 1: The Conclave of Death",https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,£36.72,Four
Camp Midnight,https://books.toscrape.com/catalogue/camp-midnight_886/index.html,£17.08,Four
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,£29.14,Five
Burning,https://books.toscrape.com/catalogue/burning_884/index.html,£28.81,Three
Bossypants,https://books.toscrape.com/catalogue/bossypants_883/index.html,£49.46,Two
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,£37.92,Two
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,£28.09,Two
Benjamin Franklin: An American Life,https://books.toscrape.com/catalogue/benjamin-franklin-an-american-life_460/index.html,£48.19,Three
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",https://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html,£29.93,Five
A Summer In Europe,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html,£44.34,Two
A Short History of Nearly Everything,https://books.toscrape.com/catalogue/a-short-history-of-nearly-everything_457/index.html,£52.40,Five
A Gathering of Shadows (Shades of Magic #2),https://books.toscrape.com/catalogue/a-gathering-of-shadows-shades-of-magic-2_456/index.html,£44.81,Four
The Sound Of Love,https://books.toscrape.com/catalogue/the-sound-of-love_455/index.html,£57.84,Five
The Rise and Fall of the Third Reich: A History of Nazi Germany,https://books.toscrape.com/catalogue/the-rise-and-fall-of-the-third-reich-a-history-of-nazi-germany_454/index.html,£39.67,Two
The Perks of Being a Wallflower,https://books.toscrape.com/catalogue/the-perks-of-being-a-wallflower_453/index.html,£55.02,Three
The Mysterious Affair at Styles (Hercule Poirot #1),https://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html,£24.80,Four
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,https://books.toscrape.com/catalogue/the-man-who-mistook-his-wife-for-a-hat-and-other-clinical-tales_451/index.html,£59.45,Four
The Makings of a Fatherless Child,https://books.toscrape.com/catalogue/the-makings-of-a-fatherless-child_450/index.html,£31.58,Two
The Joy of Cooking,https://books.toscrape.com/catalogue/the-joy-of-cooking_449/index.html,£43.27,Four
The Invention of Wings,https://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html,£37.34,One
The Hobbit (Middle-Earth Universe),https://books.toscrape.com/catalogue/the-hobbit-middle-earth-universe_447/index.html,£17.80,Five
The Great Railway Bazaar,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html,£30.54,One
The Golden Compass (His Dark Materials #1),https://books.toscrape.com/catalogue/the-golden-compass-his-dark-materials-1_445/index.html,£18.77,One
The God Delusion,https://books.toscrape.com/catalogue/the-god-delusion_444/index.html,£46.85,Three
The Girl You Left Behind (The Girl You Left Behind #1),https://books.toscrape.com/catalogue/the-girl-you-left-behind-the-girl-you-left-behind-1_443/index.html,£15.79,One
The Fellowship of the Ring (The Lord of the Rings #1),https://books.toscrape.com/catalogue/the-fellowship-of-the-ring-the-lord-of-the-rings-1_442/index.html,£10.27,Two
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),https://books.toscrape.com/catalogue/the-collected-poems-of-wb-yeats-the-collected-works-of-wb-yeats-1_441/index.html,£15.42,Five
Slow States of Collapse: Poems,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,£57.31,Three
Reasons to Stay Alive,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,£26.41,Two
Private Paris (Private #10),https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,£47.61,Five
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,£23.11,Five
Without Borders (Wanderlove #1),https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,£45.07,Two
When We Collided,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,£31.77,One
"We Love You, Charlie Freeman",https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,£50.27,Five
Untitled Collection: Sabbath Poems 2014,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,£14.27,Four
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,£44.18,Four
Unicorn Tracks,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,£18.78,Three
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,£25.52,One
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,£16.28,One
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,£31.12,Three
This One Summer,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,£19.49,Four
Thirst,https://books.toscrape.com/catalogue/thirst_946/index.html,£17.27,Five
The Torch Is Passed: A Harding Family Story,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,£19.09,One
The Secret of Dreadwillow Carse,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,£56.13,One
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,£56.41,One
The Past Never Ends,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,£56.50,Four
The Natural History of Us (The Fine Art of Pretending #2),https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,£45.22,Three
The Story of Art,https://books.toscrape.com/catalogue/the-story-of-art_500/index.html,£41.14,Four
The Origin of Species,https://books.toscrape.com/catalogue/the-origin-of-species_499/index.html,£10.01,Four
The Great Gatsby,https://books.toscrape.com/catalogue/the-great-gatsby_498/index.html,£36.05,Four
The Good Girl,https://books.toscrape.com/catalogue/the-good-girl_497/index.html,£49.03,Three
The Glass Castle,https://books.toscrape.com/catalogue/the-glass-castle_496/index.html,£16.24,One
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,https://books.toscrape.com/catalogue/the-faith-of-christopher-hitchens-the-restless-soul-of-the-worlds-most-notorious-atheist_495/index.html,£39.55,One
The Drowning Girls,https://books.toscrape.com/catalogue/the-drowning-girls_494/index.html,£35.67,Three
The Constant Princess (The Tudor Court #1),https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html,£16.62,Three
The Bourne Identity (Jason Bourne #1),https://books.toscrape.com/catalogue/the-bourne-identity-jason-bourne-1_492/index.html,£42.78,Four
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,£52.30,Five
The Art Book,https://books.toscrape.com/catalogue/the-art-book_490/index.html,£32.34,Two
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,https://books.toscrape.com/catalogue/the-7-habits-of-highly-effective-people-powerful-lessons-in-personal-change_489/index.html,£33.17,Four
Team of Rivals: The Political Genius of Abraham Lincoln,https://books.toscrape.com/catalogue/team-of-rivals-the-political-genius-of-abraham-lincoln_488/index.html,£20.12,Five
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,https://books.toscrape.com/catalogue/steal-like-an-artist-10-things-nobody-told-you-about-being-creative_487/index.html,£20.90,Two
"Sit, Stay, Love",https://books.toscrape.com/catalogue/sit-stay-love_486/index.html,£20.90,Three
Sister Dear,https://books.toscrape.com/catalogue/sister-dear_485/index.html,£40.20,Four
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",https://books.toscrape.com/catalogue/shrunken-treasures-literary-classics-short-sweet-and-silly_484/index.html,£52.87,Three
"Rich Dad, Poor Dad",https://books.toscrape.com/catalogue/rich-dad-poor-dad_483/index.html,£51.74,One
Raymie Nightingale,https://books.toscrape.com/catalogue/raymie-nightingale_482/index.html,£34.41,Two
Playing from the Heart,https://books.toscrape.com/catalogue/playing-from-the-heart_481/index.html,£32.38,One
Civilization and Its Discontents,https://books.toscrape.com/catalogue/civilization-and-its-discontents_140/index.html,£59.95,Two
Cinder (The Lunar Chronicles #1),https://books.toscrape.com/catalogue/cinder-the-lunar-chronicles-1_139/index.html,£26.09,One
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,https://books.toscrape.com/catalogue/catastrophic-happiness-finding-joy-in-childhoods-messy-years_138/index.html,£37.35,Two
Career of Evil (Cormoran Strike #3),https://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html,£24.72,Two
Breaking Dawn (Twilight #4),https://books.toscrape.com/catalogue/breaking-dawn-twilight-4_136/index.html,£35.28,Five
Brave Enough,https://books.toscrape.com/catalogue/brave-enough_135/index.html,£51.32,Five
Boy Meets Boy,https://books.toscrape.com/catalogue/boy-meets-boy_134/index.html,£21.12,Three
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",https://books.toscrape.com/catalogue/born-to-run-a-hidden-tribe-superathletes-and-the-greatest-race-the-world-has-never-seen_133/index.html,£27.35,Two
Blink: The Power of Thinking Without Thinking,https://books.toscrape.com/catalogue/blink-the-power-of-thinking-without-thinking_132/index.html,£21.74,Five
Black Flags: The Rise of ISIS,https://books.toscrape.com/catalogue/black-flags-the-rise-of-isis_131/index.html,£40.87,One
"Black Butler, Vol. 1 (Black Butler #1)",https://books.toscrape.com/catalogue/black-butler-vol-1-black-butler-1_130/index.html,£49.31,One
Big Little Lies,https://books.toscrape.com/catalogue/big-little-lies_129/index.html,£22.11,One
Between Shades of Gray,https://books.toscrape.com/catalogue/between-shades-of-gray_128/index.html,£20.79,Five
Best of My Love (Fool's Gold #20),https://books.toscrape.com/catalogue/best-of-my-love-fools-gold-20_127/index.html,£27.41,Two
Beowulf,https://books.toscrape.com/catalogue/beowulf_126/index.html,£38.35,Two
Beautiful Creatures (Caster Chronicles #1),https://books.toscrape.com/catalogue/beautiful-creatures-caster-chronicles-1_125/index.html,£21.55,Five
Awkward,https://books.toscrape.com/catalogue/awkward_124/index.html,£38.02,Two
Ash,https://books.toscrape.com/catalogue/ash_123/index.html,£22.06,Four
Are We There Yet?,https://books.toscrape.com/catalogue/are-we-there-yet_122/index.html,£10.66,Three
Are We Smart Enough to Know How Smart Animals Are?,https://books.toscrape.com/catalogue/are-we-smart-enough-to-know-how-smart-animals-are_121/index.html,£56.58,One
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,https://books.toscrape.com/catalogue/heaven-is-for-real-a-little-boys-astounding-story-of-his-trip-to-heaven-and-back_520/index.html,£52.86,Two
Future Shock (Future Shock #1),https://books.toscrape.com/catalogue/future-shock-future-shock-1_519/index.html,£55.65,Five
Ender's Game (The Ender Quintet #1),https://books.toscrape.com/catalogue/enders-game-the-ender-quintet-1_518/index.html,£43.64,One
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,https://books.toscrape.com/catalogue/diary-of-a-citizen-scientist-chasing-tiger-beetles-and-other-new-ways-of-engaging-the-world_517/index.html,£28.41,One
Death by Leisure: A Cautionary Tale,https://books.toscrape.com/catalogue/death-by-leisure-a-cautionary-tale_516/index.html,£37.51,Four
Brilliant Beacons: A History of the American Lighthouse,https://books.toscrape.com/catalogue/brilliant-beacons-a-history-of-the-american-lighthouse_515/index.html,£11.45,Three
